Accident_ID,Date,Time,Weather,Road_Conditions,Severity,Latitude,Longitude
1,2023-01-10,23:00:00,Snow,Snowy,Severe,36.9963209507789,-110.03928405993935
2,2023-02-07,21:00:00,Clear,Icy,Moderate,41.605714451279326,-94.6982592627306
3,2023-01-07,12:00:00,Hail,Snowy,Severe,39.85595153449124,-80.46332905731444
4,2023-02-09,05:00:00,Snow,Dry,Severe,38.78926787357629,-86.51432988438887
5,2023-01-10,10:00:00,Fog,Snowy,Severe,35.24814912353949,-83.31787064195765
6,2023-01-12,18:00:00,Hail,Snowy,Minor,35.24795616268962,-89.67231523143916
7,2023-01-27,13:00:00,Snow,Icy,Minor,34.4646688973456,-88.23210772573235
8,2023-02-07,17:00:00,Hail,Icy,Moderate,40.929409166199484,-81.48458698269127
9,2023-02-05,17:00:00,Rain,Snowy,Minor,38.80892009394567,-107.264275619055
10,2023-01-17,07:00:00,Rain,Icy,Moderate,39.66458062236836,-96.95472656334496
11,2023-01-08,05:00:00,Clear,Wet,Minor,34.164675954366416,-108.4879940017571
12,2023-02-11,12:00:00,Clear,Icy,Severe,41.75927881729596,-75.53027565614417
13,2023-01-26,15:00:00,Rain,Icy,Minor,40.659541126403376,-77.40544839347564
14,2023-01-31,11:00:00,Hail,Icy,Moderate,35.69871288542621,-116.30464711115425
15,2023-01-09,01:00:00,Rain,Icy,Minor,35.45459973765681,-87.6602675818254
16,2023-01-25,08:00:00,Clear,Dry,Severe,35.46723607882747,-78.21432235112637
17,2023-01-24,15:00:00,Rain,Dry,Moderate,36.4339379436763,-110.23526015952466
18,2023-02-05,18:00:00,Rain,Dry,Severe,38.1980514530579,-93.57835508623694
19,2023-02-03,23:00:00,Hail,Snowy,Severe,37.45556014913693,-78.6340032037142
20,2023-01-10,21:00:00,Snow,Snowy,Moderate,36.329833121584336,-116.54032292081065
21,2023-01-29,08:00:00,Clear,Wet,Severe,38.89482315777904,-88.01092850838589
22,2023-01-26,13:00:00,Hail,Dry,Severe,35.115950885216336,-105.21399268298032
23,2023-01-25,14:00:00,Rain,Snowy,Minor,36.33715718828174,-78.2509635988092
24,2023-02-05,18:00:00,Rain,Icy,Severe,36.93089474634954,-76.24449545788919
25,2023-01-11,18:00:00,Snow,Icy,Severe,37.64855987373629,-77.39654096812234
26,2023-02-06,09:00:00,Clear,Dry,Severe,40.28140769114411,-97.60878868372906
27,2023-01-19,23:00:00,Clear,Wet,Severe,35.59739025726688,-80.93216600745953
28,2023-01-23,01:00:00,Fog,Wet,Moderate,38.11387550730889,-81.68437586299197
29,2023-01-09,16:00:00,Clear,Icy,Minor,38.73931655089634,-104.27867965054001
30,2023-01-29,07:00:00,Snow,Wet,Severe,34.37160330175998,-82.35663461152087
31,2023-02-08,14:00:00,Fog,Dry,Severe,38.860358815211505,-116.40867170723382
32,2023-02-11,13:00:00,Fog,Icy,Moderate,35.364192989498335,-92.36039522527172
33,2023-01-22,22:00:00,Rain,Snowy,Severe,34.52041274388223,-108.10961999662877
34,2023-01-03,02:00:00,Rain,Snowy,Moderate,41.591084298026665,-112.815623911577
35,2023-01-27,16:00:00,Clear,Wet,Minor,41.725056264596475,-114.691012329944
36,2023-01-17,03:00:00,Fog,Icy,Minor,40.46717878493169,-88.05958263724
37,2023-02-10,00:00:00,Rain,Icy,Severe,36.43691015338697,-103.38537655797316
38,2023-01-28,20:00:00,Snow,Snowy,Severe,34.78137691205107,-86.83502882426326
39,2023-02-01,00:00:00,Rain,Icy,Severe,39.473864212097254,-115.18967734564548
40,2023-01-09,22:00:00,Rain,Icy,Moderate,37.52121994991681,-104.44251547328375
41,2023-01-07,20:00:00,Fog,Icy,Severe,34.97630587875823,-94.8018744278605
42,2023-01-20,20:00:00,Fog,Wet,Severe,37.961415280890165,-83.99890391192457
43,2023-01-28,23:00:00,Hail,Icy,Minor,34.27510816892175,-104.29364237392099
44,2023-02-09,23:00:00,Snow,Dry,Severe,41.274563216630256,-91.08667081320861
45,2023-01-09,12:00:00,Fog,Wet,Minor,36.070239852800135,-79.90295682584394
46,2023-02-08,19:00:00,Clear,Icy,Severe,39.30017827483186,-91.5178829081609
47,2023-01-18,07:00:00,Snow,Icy,Minor,36.49368860871529,-107.98274258559374
48,2023-01-28,08:00:00,Snow,Dry,Severe,38.16054416942249,-116.95076639306886
49,2023-01-21,06:00:00,Fog,Wet,Minor,38.37368223474624,-80.58574842226002
50,2023-02-06,16:00:00,Snow,Snowy,Moderate,35.47883564420422,-117.08541533343335
51,2023-02-07,03:00:00,Fog,Snowy,Minor,41.75667702211647,-80.38782807457943
52,2023-01-06,18:00:00,Rain,Wet,Minor,40.201062586888916,-95.25570323682989
53,2023-01-14,01:00:00,Hail,Icy,Minor,41.51599153251351,-77.62008896394546
54,2023-01-07,06:00:00,Rain,Icy,Severe,41.15861880342119,-83.65232086173239
55,2023-01-14,07:00:00,Fog,Snowy,Severe,38.783199830488684,-75.08883324706649
56,2023-01-01,06:00:00,Fog,Snowy,Severe,41.37499388018493,-102.91939193557647
57,2023-01-04,00:00:00,Rain,Snowy,Moderate,34.70794001641536,-85.01090357596155
58,2023-01-25,09:00:00,Clear,Dry,Moderate,35.56786289935316,-100.71697071480259
59,2023-01-06,05:00:00,Clear,Snowy,Minor,34.3618183112843,-97.36534832693192
60,2023-01-25,13:00:00,Clear,Dry,Moderate,36.60264264610611,-91.01726508161009
61,2023-01-31,23:00:00,Fog,Wet,Minor,37.10941831751585,-80.43188408998743
62,2023-02-08,19:00:00,Snow,Icy,Minor,36.17079225419117,-75.6844108244303
63,2023-02-10,05:00:00,Fog,Snowy,Minor,40.62990007321544,-84.96424320382572
64,2023-01-13,06:00:00,Snow,Icy,Moderate,36.85402661354871,-100.03602836680464
65,2023-02-08,21:00:00,Rain,Icy,Severe,36.247476077499044,-99.88164890208598
66,2023-01-16,02:00:00,Hail,Snowy,Moderate,38.34156866526599,-86.28396103167766
67,2023-02-05,18:00:00,Snow,Snowy,Minor,35.1273937997981,-107.73258273196299
68,2023-02-05,07:00:00,Clear,Wet,Minor,40.41757584603232,-113.24961313535003
69,2023-01-16,02:00:00,Fog,Dry,Moderate,34.59640514943817,-102.7512472214466
70,2023-02-07,21:00:00,Rain,Dry,Minor,41.89509549280414,-105.64872335887449
71,2023-01-19,19:00:00,Clear,Icy,Minor,40.17795815437326,-105.25875082039242
72,2023-01-18,12:00:00,Rain,Snowy,Moderate,35.58972545227338,-107.95486670485387
73,2023-01-07,12:00:00,Hail,Wet,Moderate,34.04417693698882,-116.18999284563644
74,2023-01-08,07:00:00,Fog,Wet,Moderate,40.523691427638674,-117.2314208064632
75,2023-01-27,01:00:00,Fog,Wet,Minor,39.65485875078094,-75.52793724135064
76,2023-01-30,20:00:00,Hail,Wet,Minor,39.8320573443279,-99.60575524935791
77,2023-02-07,20:00:00,Fog,Wet,Severe,40.17016277348757,-101.47395417213369
78,2023-01-21,10:00:00,Snow,Dry,Severe,34.592357213872724,-88.775166844198
79,2023-01-14,02:00:00,Rain,Dry,Moderate,36.86772582835418,-108.61508282180225
80,2023-01-25,21:00:00,Clear,Dry,Severe,34.92695247620104,-77.1516690901403
81,2023-01-13,23:00:00,Hail,Snowy,Minor,40.904827407004746,-84.18716438013126
82,2023-01-25,17:00:00,Snow,Icy,Severe,38.98638501462047,-114.15532690057285
83,2023-01-28,23:00:00,Clear,Wet,Minor,36.64718419882119,-100.04402664124808
84,2023-01-24,08:00:00,Clear,Snowy,Moderate,34.50846680228819,-80.19791277482692
85,2023-01-24,14:00:00,Hail,Wet,Moderate,36.4878585737253,-77.37652304146935
86,2023-01-15,17:00:00,Snow,Dry,Minor,36.60146657621398,-97.9017350162556
87,2023-01-02,01:00:00,Clear,Snowy,Severe,39.83684942670451,-91.62331026393957
88,2023-02-09,19:00:00,Clear,Dry,Moderate,39.1004597708417,-110.81754031804077
89,2023-01-02,07:00:00,Snow,Wet,Moderate,41.09770194061061,-75.37974907611002
90,2023-01-29,21:00:00,Fog,Wet,Severe,37.77771940129559,-108.03811684051193
91,2023-01-18,19:00:00,Clear,Icy,Severe,34.956753967506415,-77.4625337121896
92,2023-01-25,09:00:00,Rain,Wet,Minor,39.70595829778396,-90.06519409332816
93,2023-01-08,17:00:00,Snow,Dry,Severe,40.08628038893518,-91.86731782020905
94,2023-01-23,17:00:00,Clear,Wet,Severe,38.49021758055597,-95.95439402629013
95,2023-01-26,12:00:00,Hail,Icy,Severe,40.16773743963649,-108.08119809613638
96,2023-02-10,15:00:00,Rain,Icy,Minor,37.95036477091513,-110.40929462376315
97,2023-01-21,14:00:00,Clear,Dry,Minor,38.18186263505595,-108.51909300998246
98,2023-01-09,14:00:00,Rain,Snowy,Moderate,37.4203281468684,-109.98315472779706
99,2023-01-26,03:00:00,Rain,Wet,Minor,34.203353013952764,-84.47786763662961
100,2023-01-25,01:00:00,Fog,Icy,Moderate,34.863131415946434,-102.94461385583061
101,2023-02-05,06:00:00,Rain,Wet,Severe,34.25143348549388,-115.51276490777396
102,2023-02-05,18:00:00,Fog,Wet,Moderate,39.09128329011024,-76.32858690394511
103,2023-01-22,15:00:00,Snow,Snowy,Moderate,36.514847848610614,-79.9972069465727
104,2023-01-22,22:00:00,Fog,Icy,Severe,38.068565529317624,-78.10665182260584
105,2023-01-01,13:00:00,Hail,Wet,Moderate,41.260531791408745,-75.21896362620328
106,2023-01-05,07:00:00,Clear,Icy,Minor,35.994337833191,-110.52250428356204
107,2023-01-03,05:00:00,Snow,Dry,Minor,37.283063384285036,-100.96159318718567
108,2023-01-03,14:00:00,Snow,Dry,Minor,40.04440910834439,-85.39574554472406
109,2023-02-05,02:00:00,Hail,Wet,Minor,35.83038532393298,-88.07111342368694
110,2023-01-05,05:00:00,Fog,Icy,Moderate,34.61583927863035,-111.38247602738623
111,2023-01-06,12:00:00,Clear,Wet,Moderate,36.31801162331014,-82.91917562540343
112,2023-02-06,14:00:00,Fog,Icy,Severe,35.28977029803204,-108.34905541102358
113,2023-01-19,12:00:00,Rain,Icy,Moderate,41.43758121874058,-108.37584256262721
114,2023-01-27,14:00:00,Fog,Snowy,Moderate,40.464963036515336,-94.91009981558321
115,2023-01-29,08:00:00,Snow,Snowy,Moderate,39.06723005208339,-92.50358280180677
116,2023-01-04,00:00:00,Clear,Snowy,Severe,40.971684721501745,-93.05629306297412
117,2023-01-25,16:00:00,Fog,Wet,Minor,40.429376615192915,-114.06606599189654
118,2023-01-15,21:00:00,Clear,Snowy,Moderate,35.49256047108829,-80.26918290689365
119,2023-02-08,04:00:00,Clear,Snowy,Severe,41.140471987919824,-106.57919816868564
120,2023-01-13,12:00:00,Rain,Dry,Severe,38.314737935325205,-112.43085838483942
121,2023-02-09,04:00:00,Rain,Icy,Severe,40.4595212413125,-79.78383256563399
122,2023-01-24,18:00:00,Snow,Icy,Minor,41.16873039938795,-76.9069855761206
123,2023-01-28,04:00:00,Hail,Snowy,Moderate,36.54402779977491,-80.92851245758563
124,2023-01-26,18:00:00,Clear,Icy,Severe,34.880415396221416,-83.19080878683025
125,2023-01-30,00:00:00,Hail,Dry,Minor,35.82348130033553,-89.82459483252207
126,2023-01-11,16:00:00,Snow,Dry,Severe,37.41686230901005,-94.31313306380702
127,2023-02-04,05:00:00,Clear,Snowy,Severe,40.544118127379946,-114.25956932380936
128,2023-01-24,06:00:00,Clear,Dry,Severe,40.885844666050744,-100.43651183795996
129,2023-02-09,00:00:00,Hail,Icy,Severe,34.05561704424952,-101.97439376847049
130,2023-01-02,14:00:00,Fog,Wet,Severe,38.08597842062053,-106.83058729830597
131,2023-01-17,22:00:00,Rain,Icy,Minor,37.33928802519023,-86.89293511139084
132,2023-01-12,15:00:00,Fog,Wet,Moderate,35.77686248376584,-96.67734339161285
133,2023-01-23,13:00:00,Hail,Snowy,Moderate,34.95892293866946,-114.51501271597114
134,2023-01-07,01:00:00,Rain,Wet,Moderate,36.70092137122902,-108.53212231615811
135,2023-01-16,09:00:00,Fog,Dry,Moderate,41.54327763130016,-88.61987316263738
136,2023-01-03,03:00:00,Rain,Icy,Minor,36.58562345616604,-114.72637304191709
137,2023-02-06,23:00:00,Clear,Wet,Minor,38.15032497394693,-81.39810269590295
138,2023-02-06,13:00:00,Fog,Icy,Minor,39.62415167116142,-96.7086993383991
139,2023-01-09,11:00:00,Rain,Snowy,Severe,36.909036819034355,-97.33477717495414
140,2023-01-28,11:00:00,Rain,Snowy,Severe,41.77425666176769,-92.52646525964074
141,2023-01-16,15:00:00,Rain,Dry,Severe,41.699578359536886,-82.53871846521858
142,2023-01-31,17:00:00,Fog,Snowy,Moderate,36.01425836660292,-103.0442040602057
143,2023-01-09,13:00:00,Snow,Wet,Severe,37.977988047139085,-88.84530543996027
144,2023-01-04,09:00:00,Fog,Snowy,Moderate,36.407026478534156,-93.67352554818098
145,2023-01-31,03:00:00,Hail,Dry,Severe,36.27872395501974,-106.51778438271488
146,2023-01-27,13:00:00,Fog,Icy,Moderate,34.29509557883626,-80.21891058672821
147,2023-01-26,04:00:00,Rain,Icy,Severe,38.876514671839175,-83.7106810709021
148,2023-02-02,23:00:00,Clear,Snowy,Severe,38.02143218583089,-89.6865711096877
149,2023-02-08,06:00:00,Fog,Wet,Minor,34.41183000999992,-81.4249856489476
150,2023-01-16,21:00:00,Fog,Dry,Severe,36.22917171389289,-80.70634935872849
151,2023-01-29,05:00:00,Rain,Wet,Severe,41.26612708773323,-87.54039200125351
152,2023-01-03,06:00:00,Clear,Dry,Minor,35.91649512533578,-82.0084268803621
153,2023-02-03,19:00:00,Clear,Snowy,Moderate,35.159158976729785,-88.0087271482208
154,2023-01-02,12:00:00,Hail,Dry,Minor,37.9156220822205,-88.75394681430708
155,2023-02-06,10:00:00,Fog,Dry,Minor,41.8852036328848,-91.39971073674707
156,2023-01-19,14:00:00,Clear,Snowy,Moderate,35.936442172092,-85.63318449902143
157,2023-01-03,07:00:00,Clear,Wet,Severe,39.37708437924703,-111.17998047239783
158,2023-02-08,09:00:00,Snow,Snowy,Moderate,40.09295692262974,-80.12255735444609
159,2023-02-01,11:00:00,Snow,Dry,Severe,35.9011003519392,-80.51072830695503
160,2023-01-11,06:00:00,Clear,Snowy,Severe,39.82573078889487,-116.74236682951395
161,2023-02-07,14:00:00,Hail,Dry,Moderate,36.94226506175403,-82.48987972571521
162,2023-02-10,13:00:00,Clear,Snowy,Minor,39.058446644748635,-112.45859569864186
163,2023-01-02,01:00:00,Rain,Icy,Moderate,39.06823768608716,-103.5898892668569
164,2023-01-05,09:00:00,Fog,Icy,Severe,38.28619747259807,-86.02914497946087
165,2023-01-24,15:00:00,Hail,Snowy,Moderate,34.722318160435265,-111.08732446992275
166,2023-01-10,17:00:00,Rain,Wet,Moderate,40.6824199647139,-82.82741796288033
167,2023-02-02,14:00:00,Hail,Dry,Severe,36.566240519773885,-82.2182303478171
168,2023-01-29,02:00:00,Rain,Icy,Minor,35.492148083198835,-96.17888744828404
169,2023-01-19,08:00:00,Fog,Wet,Moderate,34.326201132438115,-117.72540751617616
170,2023-02-02,19:00:00,Fog,Dry,Severe,38.72714354550593,-105.65736027347876
171,2023-01-26,08:00:00,Snow,Icy,Severe,39.42051489473826,-91.47214250984308
172,2023-01-16,14:00:00,Rain,Icy,Moderate,34.13270263142285,-75.80899434482079
173,2023-01-08,08:00:00,Snow,Snowy,Minor,38.09674446639425,-90.83201833828326
174,2023-01-18,06:00:00,Rain,Dry,Moderate,35.8119662015835,-106.82844601424112
175,2023-02-08,00:00:00,Snow,Wet,Minor,39.161382323275596,-90.7377547667167
176,2023-01-30,20:00:00,Fog,Wet,Minor,35.39493143203993,-94.78062867221821
177,2023-01-13,09:00:00,Hail,Wet,Minor,39.52750190481973,-84.46664800850083
178,2023-02-02,17:00:00,Snow,Dry,Minor,37.0938827704043,-113.39983253044079
179,2023-01-21,23:00:00,Rain,Wet,Moderate,41.49383990989388,-85.27580019241279
180,2023-01-12,05:00:00,Rain,Wet,Severe,35.10016755316795,-94.72553711692726
181,2023-01-25,05:00:00,Fog,Wet,Severe,36.72853080840207,-76.59134383406322
182,2023-01-01,16:00:00,Rain,Snowy,Severe,34.907788169924714,-103.2994968603365
183,2023-02-08,06:00:00,Clear,Snowy,Severe,41.397548946228504,-90.79725859524024
184,2023-01-22,15:00:00,Hail,Dry,Severe,41.018714827047845,-77.92279146306925
185,2023-01-20,01:00:00,Snow,Dry,Severe,36.06353302172124,-113.5920816964008
186,2023-01-13,07:00:00,Hail,Wet,Moderate,39.27987236827343,-77.6991750488326
187,2023-01-07,00:00:00,Fog,Snowy,Minor,40.537777601609726,-88.42091394106502
188,2023-01-21,05:00:00,Snow,Icy,Severe,38.4416064927957,-115.08300645847761
189,2023-01-25,12:00:00,Snow,Icy,Moderate,38.237204626848055,-105.0585666212869
